MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Latvia (LV),Generation - Solar  [MW] Intraday / Latvia (LV),Generation - Solar  [MW] Current / Latvia (LV),Generation - Wind Offshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Offshore  [MW] Intraday / Latvia (LV),Generation - Wind Offshore  [MW] Current / Latvia (LV),Generation - Wind Onshore  [MW] Day Ahead/ Latvia (LV),Generation - Wind Onshore  [MW] Intraday / Latvia (LV),Generation - Wind Onshore  [MW] Current / Latvia (LV)
08.01.2022 13:00 - 08.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,16,19,19
08.01.2022 14:00 - 08.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,15,16,16
08.01.2022 15:00 - 08.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
08.01.2022 16:00 - 08.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,15,15,15
08.01.2022 17:00 - 08.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,17,17,17
08.01.2022 18:00 - 08.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
08.01.2022 19:00 - 08.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,19,19,19
08.01.2022 20:00 - 08.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,18,18,18
08.01.2022 21:00 - 08.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,13,14,14
08.01.2022 22:00 - 08.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,12,12,12
08.01.2022 23:00 - 09.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,10,21,21
09.01.2022 00:00 - 09.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,17,18,18
09.01.2022 01:00 - 09.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,15,22,22
09.01.2022 02:00 - 09.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,18,26,26
09.01.2022 03:00 - 09.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,24,27,27
09.01.2022 04:00 - 09.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,23,26,26
09.01.2022 05:00 - 09.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,17,21,21
09.01.2022 06:00 - 09.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,16,19,19
09.01.2022 07:00 - 09.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,14,17,17
09.01.2022 08:00 - 09.01.2022 09:00,n/e,n/e,n/e,n/e,n/e,n/e,17,16,16
09.01.2022 09:00 - 09.01.2022 10:00,n/e,n/e,n/e,n/e,n/e,n/e,17,14,14
09.01.2022 10:00 - 09.01.2022 11:00,n/e,n/e,n/e,n/e,n/e,n/e,14,12,12
09.01.2022 11:00 - 09.01.2022 12:00,n/e,n/e,n/e,n/e,n/e,n/e,14,12,12
09.01.2022 12:00 - 09.01.2022 13:00,n/e,n/e,n/e,n/e,n/e,n/e,16,11,11
09.01.2022 13:00 - 09.01.2022 14:00,n/e,n/e,n/e,n/e,n/e,n/e,13,9,9
09.01.2022 14:00 - 09.01.2022 15:00,n/e,n/e,n/e,n/e,n/e,n/e,10,10,10
09.01.2022 15:00 - 09.01.2022 16:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.01.2022 16:00 - 09.01.2022 17:00,n/e,n/e,n/e,n/e,n/e,n/e,9,9,9
09.01.2022 17:00 - 09.01.2022 18:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
09.01.2022 18:00 - 09.01.2022 19:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
09.01.2022 19:00 - 09.01.2022 20:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
09.01.2022 20:00 - 09.01.2022 21:00,n/e,n/e,n/e,n/e,n/e,n/e,7,7,7
09.01.2022 21:00 - 09.01.2022 22:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
09.01.2022 22:00 - 09.01.2022 23:00,n/e,n/e,n/e,n/e,n/e,n/e,6,6,6
09.01.2022 23:00 - 10.01.2022 00:00,n/e,n/e,n/e,n/e,n/e,n/e,6,5,5
10.01.2022 00:00 - 10.01.2022 01:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
10.01.2022 01:00 - 10.01.2022 02:00,n/e,n/e,n/e,n/e,n/e,n/e,4,4,4
10.01.2022 02:00 - 10.01.2022 03:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
10.01.2022 03:00 - 10.01.2022 04:00,n/e,n/e,n/e,n/e,n/e,n/e,6,4,4
10.01.2022 04:00 - 10.01.2022 05:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
10.01.2022 05:00 - 10.01.2022 06:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
10.01.2022 06:00 - 10.01.2022 07:00,n/e,n/e,n/e,n/e,n/e,n/e,5,5,5
10.01.2022 07:00 - 10.01.2022 08:00,n/e,n/e,n/e,n/e,n/e,n/e,5,4,4
