MTU (CET/CEST),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Solar  [MW] Intraday / Germany (DE),Generation - Solar  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Offshore  [MW] Intraday / Germany (DE),Generation - Wind Offshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE),Generation - Wind Onshore  [MW] Intraday / Germany (DE),Generation - Wind Onshore  [MW] Day Ahead/ Germany (DE)
03.01.2022 05:00 - 03.01.2022 05:15,0,0,0,6268,5783,6268,33051,29747,33051
03.01.2022 05:15 - 03.01.2022 05:30,0,0,0,6275,5988,6275,33233,29998,33233
03.01.2022 05:30 - 03.01.2022 05:45,0,0,0,6285,6158,6285,33366,30674,33366
03.01.2022 05:45 - 03.01.2022 06:00,0,0,0,6159,6246,6159,33497,31709,33497
03.01.2022 06:00 - 03.01.2022 06:15,0,0,0,6146,6052,6146,34186,33154,34186
03.01.2022 06:15 - 03.01.2022 06:30,0,0,0,6155,6007,6155,34422,33374,34422
03.01.2022 06:30 - 03.01.2022 06:45,0,0,0,6161,6001,6161,34592,34883,34592
03.01.2022 06:45 - 03.01.2022 07:00,0,0,0,6169,6020,6169,34626,35467,34626
03.01.2022 07:00 - 03.01.2022 07:15,0,0,0,6179,6106,6179,34672,35839,34672
03.01.2022 07:15 - 03.01.2022 07:30,0,0,0,6186,6113,6186,34675,36142,34675
03.01.2022 07:30 - 03.01.2022 07:45,0,0,0,6195,5928,6195,34688,36815,34688
03.01.2022 07:45 - 03.01.2022 08:00,0,0,0,6198,5984,6198,34712,36392,34712
03.01.2022 08:00 - 03.01.2022 08:15,6,8,6,6178,6035,6178,34720,35441,34720
03.01.2022 08:15 - 03.01.2022 08:30,46,56,46,6182,6077,6182,34686,35653,34686
03.01.2022 08:30 - 03.01.2022 08:45,317,275,317,6183,6116,6183,34646,35536,34646
03.01.2022 08:45 - 03.01.2022 09:00,561,511,561,6185,6155,6185,34610,35607,34610
03.01.2022 09:00 - 03.01.2022 09:15,890,851,890,6189,6187,6189,34580,35913,34580
03.01.2022 09:15 - 03.01.2022 09:30,1296,1266,1296,6194,6217,6194,34564,35860,34564
03.01.2022 09:30 - 03.01.2022 09:45,1745,1727,1745,6193,6243,6193,34557,35729,34557
03.01.2022 09:45 - 03.01.2022 10:00,2220,2214,2220,6198,6263,6198,34565,35611,34565
03.01.2022 10:00 - 03.01.2022 10:15,2694,2700,2694,6198,6322,6198,34572,35511,34572
03.01.2022 10:15 - 03.01.2022 10:30,3167,3218,3167,6199,6335,6199,34645,35487,34645
03.01.2022 10:30 - 03.01.2022 10:45,3624,3689,3624,6199,6343,6199,34723,35463,34723
03.01.2022 10:45 - 03.01.2022 11:00,4051,4118,4051,6199,6356,6199,34797,35469,34797
03.01.2022 11:00 - 03.01.2022 11:15,4490,4501,4490,6200,5995,6200,34861,35483,34861
03.01.2022 11:15 - 03.01.2022 11:30,4858,4849,4858,6201,5996,6201,34979,35522,34979
03.01.2022 11:30 - 03.01.2022 11:45,5140,5116,5140,6200,6005,6200,35098,35590,35098
03.01.2022 11:45 - 03.01.2022 12:00,5335,5302,5335,6199,6008,6199,35198,35651,35198
03.01.2022 12:00 - 03.01.2022 12:15,5467,5416,5467,6197,6010,6197,35292,35720,35292
03.01.2022 12:15 - 03.01.2022 12:30,5555,5498,5555,6199,6016,6199,35290,35687,35290
03.01.2022 12:30 - 03.01.2022 12:45,5555,5531,5555,6200,6020,6200,35285,35641,35285
03.01.2022 12:45 - 03.01.2022 13:00,5489,5429,5489,6197,6025,6197,35270,35592,35270
03.01.2022 13:00 - 03.01.2022 13:15,5345,5309,5345,6195,6027,6195,35243,35523,35243
03.01.2022 13:15 - 03.01.2022 13:30,5184,5104,5184,6195,6025,6195,35097,35367,35097
03.01.2022 13:30 - 03.01.2022 13:45,4917,4784,4917,6194,6023,6194,34945,35203,34945
