"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Greece (GR)","Generation - Solar  [MW] Intraday / Greece (GR)","Generation - Solar  [MW] Current / Greece (GR)","Generation - Wind Offshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Offshore  [MW] Intraday / Greece (GR)","Generation - Wind Offshore  [MW] Current / Greece (GR)","Generation - Wind Onshore  [MW] Day Ahead/ Greece (GR)","Generation - Wind Onshore  [MW] Intraday / Greece (GR)","Generation - Wind Onshore  [MW] Current / Greece (GR)"
"07.01.2022 07:00 - 07.01.2022 08:00","170","170","n/e","n/e","n/e","n/e","543","543","n/e"
"07.01.2022 08:00 - 07.01.2022 09:00","552","552","n/e","n/e","n/e","n/e","529","529","n/e"
"07.01.2022 09:00 - 07.01.2022 10:00","878","878","n/e","n/e","n/e","n/e","496","496","n/e"
"07.01.2022 10:00 - 07.01.2022 11:00","1041","1041","n/e","n/e","n/e","n/e","475","475","n/e"
"07.01.2022 11:00 - 07.01.2022 12:00","1059","1059","n/e","n/e","n/e","n/e","467","467","n/e"
"07.01.2022 12:00 - 07.01.2022 13:00","956","1017","n/e","n/e","n/e","n/e","470","322","n/e"
"07.01.2022 13:00 - 07.01.2022 14:00","740","787","n/e","n/e","n/e","n/e","487","334","n/e"
"07.01.2022 14:00 - 07.01.2022 15:00","450","483","n/e","n/e","n/e","n/e","523","344","n/e"
"07.01.2022 15:00 - 07.01.2022 16:00","163","172","n/e","n/e","n/e","n/e","563","375","n/e"
"07.01.2022 16:00 - 07.01.2022 17:00","11","10","n/e","n/e","n/e","n/e","601","415","n/e"
"07.01.2022 17:00 - 07.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","634","437","n/e"
"07.01.2022 18:00 - 07.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","674","446","n/e"
"07.01.2022 19:00 - 07.01.2022 20:00","0","0","n/e","n/e","n/e","n/e","698","466","n/e"
"07.01.2022 20:00 - 07.01.2022 21:00","0","0","n/e","n/e","n/e","n/e","698","476","n/e"
"07.01.2022 21:00 - 07.01.2022 22:00","0","0","n/e","n/e","n/e","n/e","698","471","n/e"
"07.01.2022 22:00 - 07.01.2022 23:00","0","0","n/e","n/e","n/e","n/e","692","464","n/e"
"07.01.2022 23:00 - 08.01.2022 00:00","0","0","n/e","n/e","n/e","n/e","459","459","n/e"
"08.01.2022 00:00 - 08.01.2022 01:00","0","0","n/e","n/e","n/e","n/e","555","555","n/e"
"08.01.2022 01:00 - 08.01.2022 02:00","0","0","n/e","n/e","n/e","n/e","558","558","n/e"
"08.01.2022 02:00 - 08.01.2022 03:00","0","0","n/e","n/e","n/e","n/e","559","559","n/e"
"08.01.2022 03:00 - 08.01.2022 04:00","0","0","n/e","n/e","n/e","n/e","570","570","n/e"
"08.01.2022 04:00 - 08.01.2022 05:00","0","0","n/e","n/e","n/e","n/e","585","585","n/e"
"08.01.2022 05:00 - 08.01.2022 06:00","0","0","n/e","n/e","n/e","n/e","601","601","n/e"
"08.01.2022 06:00 - 08.01.2022 07:00","4","4","n/e","n/e","n/e","n/e","602","602","n/e"
"08.01.2022 07:00 - 08.01.2022 08:00","87","87","n/e","n/e","n/e","n/e","587","587","n/e"
"08.01.2022 08:00 - 08.01.2022 09:00","258","258","n/e","n/e","n/e","n/e","570","570","n/e"
"08.01.2022 09:00 - 08.01.2022 10:00","440","440","n/e","n/e","n/e","n/e","531","531","n/e"
"08.01.2022 10:00 - 08.01.2022 11:00","574","574","n/e","n/e","n/e","n/e","487","487","n/e"
"08.01.2022 11:00 - 08.01.2022 12:00","642","642","n/e","n/e","n/e","n/e","471","471","n/e"
"08.01.2022 12:00 - 08.01.2022 13:00","627","629","n/e","n/e","n/e","n/e","469","425","n/e"
"08.01.2022 13:00 - 08.01.2022 14:00","522","519","n/e","n/e","n/e","n/e","479","411","n/e"
"08.01.2022 14:00 - 08.01.2022 15:00","347","338","n/e","n/e","n/e","n/e","490","393","n/e"
"08.01.2022 15:00 - 08.01.2022 16:00","139","136","n/e","n/e","n/e","n/e","486","395","n/e"
"08.01.2022 16:00 - 08.01.2022 17:00","14","11","n/e","n/e","n/e","n/e","486","414","n/e"
"08.01.2022 17:00 - 08.01.2022 18:00","0","0","n/e","n/e","n/e","n/e","501","432","n/e"
"08.01.2022 18:00 - 08.01.2022 19:00","0","0","n/e","n/e","n/e","n/e","508","447","n/e"
