"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ Denmark (DK)","Generation - Solar  [MW] Intraday / Denmark (DK)","Generation - Solar  [MW] Current / Denmark (DK)","Generation - Wind Offshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Offshore  [MW] Intraday / Denmark (DK)","Generation - Wind Offshore  [MW] Current / Denmark (DK)","Generation - Wind Onshore  [MW] Day Ahead/ Denmark (DK)","Generation - Wind Onshore  [MW] Intraday / Denmark (DK)","Generation - Wind Onshore  [MW] Current / Denmark (DK)"
"09.01.2022 13:00 - 09.01.2022 14:00","39","n/e","n/e","600","n/e","n/e","1193","n/e","n/e"
"09.01.2022 14:00 - 09.01.2022 15:00","24","n/e","n/e","651","n/e","n/e","1131","n/e","n/e"
"09.01.2022 15:00 - 09.01.2022 16:00","6","n/e","n/e","632","n/e","n/e","1142","n/e","n/e"
"09.01.2022 16:00 - 09.01.2022 17:00","0","n/e","n/e","572","n/e","n/e","1127","n/e","n/e"
"09.01.2022 17:00 - 09.01.2022 18:00","0","n/e","n/e","584","n/e","n/e","1153","n/e","n/e"
"09.01.2022 18:00 - 09.01.2022 19:00","0","n/e","n/e","563","n/e","n/e","1209","n/e","n/e"
"09.01.2022 19:00 - 09.01.2022 20:00","0","n/e","n/e","537","n/e","n/e","1201","n/e","n/e"
"09.01.2022 20:00 - 09.01.2022 21:00","0","n/e","n/e","561","n/e","n/e","1254","n/e","n/e"
"09.01.2022 21:00 - 09.01.2022 22:00","0","n/e","n/e","569","n/e","n/e","1275","n/e","n/e"
"09.01.2022 22:00 - 09.01.2022 23:00","0","n/e","n/e","549","n/e","n/e","1280","n/e","n/e"
"09.01.2022 23:00 - 10.01.2022 00:00","0","n/e","n/e","538","n/e","n/e","1256","n/e","n/e"
"10.01.2022 00:00 - 10.01.2022 01:00","0","n/e","n/e","515","n/e","n/e","1184","n/e","n/e"
"10.01.2022 01:00 - 10.01.2022 02:00","0","n/e","n/e","498","n/e","n/e","1171","n/e","n/e"
"10.01.2022 02:00 - 10.01.2022 03:00","0","n/e","n/e","461","n/e","n/e","1159","n/e","n/e"
"10.01.2022 03:00 - 10.01.2022 04:00","0","n/e","n/e","429","n/e","n/e","1138","n/e","n/e"
